id	region	mode	final	fast	suite	equiv	deep	directed
1	engine_ctrl	const1	survived	survived	survived	not_proven	killed	-
2	engine_ctrl	inv	killed_fast	killed	-	not_proven	-	-
3	engine_ctrl	cnot1	killed_fast	killed	-	not_proven	-	-
4	engine_ctrl	const1	killed_full	survived	killed	not_proven	-	-
5	engine_ctrl	inv	killed_full	survived	killed	not_proven	-	-
6	engine_ctrl	cnot0	survived	survived	survived	equivalent	-	-
7	engine_ctrl	cnot1	killed_full	survived	killed	not_proven	-	-
8	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
9	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
10	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
11	engine_ctrl	inv	killed_full	survived	killed	-	-	-
12	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
13	engine_ctrl	const1	killed_fast	killed	-	-	-	-
14	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
15	engine_ctrl	inv	killed_fast	killed	-	-	-	-
16	engine_ctrl	const1	killed_fast	killed	-	-	-	-
17	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
18	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
19	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
20	engine_ctrl	const0	killed_full	survived	killed	-	-	-
21	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
22	engine_ctrl	inv	killed_fast	killed	-	-	-	-
23	engine_ctrl	const1	killed_fast	killed	-	-	-	-
24	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
25	engine_ctrl	const0	killed_fast	killed	-	-	-	-
26	engine_ctrl	const1	killed_fast	killed	-	-	-	-
27	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
28	engine_ctrl	const0	killed_full	survived	killed	-	-	-
29	engine_ctrl	const1	killed_fast	killed	-	-	-	-
30	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
31	engine_ctrl	const1	survived	survived	survived	not_proven	survived	-
32	engine_ctrl	cnot1	survived	survived	survived	equivalent	-	-
33	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
34	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
35	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
36	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
37	engine_ctrl	const1	survived	survived	survived	not_proven	survived	-
38	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
39	engine_ctrl	inv	killed_fast	killed	-	-	-	-
40	engine_ctrl	inv	killed_fast	killed	-	-	-	-
41	engine_ctrl	inv	killed_full	survived	killed	-	-	-
42	engine_ctrl	const1	killed_fast	killed	-	-	-	-
43	engine_ctrl	inv	killed_fast	killed	-	-	-	-
44	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
45	engine_ctrl	inv	killed_full	survived	killed	-	-	-
46	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
47	engine_ctrl	const1	survived	survived	survived	not_proven	survived	-
48	engine_ctrl	inv	killed_fast	killed	-	-	-	-
49	engine_ctrl	const0	killed_full	survived	killed	-	-	-
50	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
51	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
52	engine_ctrl	const1	killed_fast	killed	-	-	-	-
53	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
54	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
55	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
56	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
57	engine_ctrl	const0	killed_fast	killed	-	-	-	-
58	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
59	engine_ctrl	inv	killed_fast	killed	-	-	-	-
60	engine_ctrl	inv	killed_fast	killed	-	-	-	-
61	engine_ctrl	const0	killed_full	survived	killed	-	-	-
62	engine_ctrl	const0	killed_full	survived	killed	-	-	-
63	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
64	engine_ctrl	const0	killed_full	survived	killed	-	-	-
65	engine_ctrl	cnot1	survived	survived	survived	equivalent	-	-
66	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
67	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
68	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
69	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
70	engine_ctrl	const0	killed_full	survived	killed	-	-	-
71	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
72	engine_ctrl	cnot1	survived	survived	survived	equivalent	-	-
73	engine_ctrl	const0	killed_full	survived	killed	-	-	-
74	engine_ctrl	inv	killed_fast	killed	-	-	-	-
75	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
76	engine_ctrl	inv	killed_fast	killed	-	-	-	-
77	engine_ctrl	const0	killed_fast	killed	-	-	-	-
78	engine_ctrl	const1	killed_full	survived	killed	-	-	-
79	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
80	engine_ctrl	const0	killed_full	survived	killed	-	-	-
81	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
82	engine_ctrl	const0	killed_fast	killed	-	-	-	-
83	engine_ctrl	inv	killed_fast	killed	-	-	-	-
84	engine_ctrl	inv	killed_fast	killed	-	-	-	-
85	engine_ctrl	const0	killed_full	survived	killed	-	-	-
86	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
87	engine_ctrl	cnot0	survived	survived	survived	not_proven	survived	-
88	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
89	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
90	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
91	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
92	engine_ctrl	const0	killed_fast	killed	-	-	-	-
93	engine_ctrl	inv	killed_fast	killed	-	-	-	-
94	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
95	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
96	engine_ctrl	const1	killed_full	survived	killed	-	-	-
97	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
98	engine_ctrl	const1	killed_fast	killed	-	-	-	-
99	engine_ctrl	inv	survived	survived	survived	not_proven	survived	-
100	engine_ctrl	inv	killed_fast	killed	-	-	-	-
101	engine_ctrl	const0	killed_full	survived	killed	-	-	-
102	engine_ctrl	const1	survived	survived	survived	not_proven	killed	-
103	engine_ctrl	const1	killed_full	survived	killed	-	-	-
104	engine_ctrl	const1	killed_full	survived	killed	-	-	-
105	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
106	engine_ctrl	inv	survived	survived	survived	not_proven	survived	-
107	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
108	engine_ctrl	const0	killed_fast	killed	-	-	-	-
109	engine_ctrl	const1	killed_full	survived	killed	-	-	-
110	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
111	engine_ctrl	inv	killed_fast	killed	-	-	-	-
112	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
113	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
114	engine_ctrl	inv	killed_full	survived	killed	-	-	-
115	engine_ctrl	const1	killed_fast	killed	-	-	-	-
116	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
117	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
118	engine_ctrl	const1	killed_full	survived	killed	-	-	-
119	engine_ctrl	const0	killed_fast	killed	-	-	-	-
120	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
121	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
122	engine_ctrl	const1	killed_fast	killed	-	-	-	-
123	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
124	engine_ctrl	inv	killed_full	survived	killed	-	-	-
125	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
126	engine_ctrl	const0	killed_full	survived	killed	-	-	-
127	engine_ctrl	const0	killed_fast	killed	-	-	-	-
128	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
129	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
130	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
131	engine_ctrl	const1	killed_fast	killed	-	-	-	-
132	engine_ctrl	inv	killed_full	survived	killed	-	-	-
133	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
134	engine_ctrl	inv	killed_fast	killed	-	-	-	-
135	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
136	engine_ctrl	inv	survived	survived	survived	not_proven	survived	-
137	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
138	engine_ctrl	const1	killed_full	survived	killed	-	-	-
139	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
140	engine_ctrl	inv	killed_full	survived	killed	-	-	-
141	engine_ctrl	const0	killed_full	survived	killed	-	-	-
142	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
143	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
144	engine_ctrl	inv	killed_fast	killed	-	-	-	-
145	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
146	engine_ctrl	const1	killed_full	survived	killed	-	-	-
147	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
148	engine_ctrl	const0	killed_fast	killed	-	-	-	-
149	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
150	engine_ctrl	inv	killed_full	survived	killed	-	-	-
151	engine_ctrl	const1	survived	survived	survived	not_proven	killed	-
152	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
153	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
154	engine_ctrl	const0	killed_full	survived	killed	-	-	-
155	engine_ctrl	const1	killed_fast	killed	-	-	-	-
156	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
157	engine_ctrl	const0	killed_full	survived	killed	-	-	-
158	engine_ctrl	inv	survived	survived	survived	not_proven	survived	-
159	engine_ctrl	const0	survived	survived	survived	equivalent	-	-
160	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
161	engine_ctrl	const1	killed_fast	killed	-	-	-	-
162	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
163	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
164	engine_ctrl	const1	killed_fast	killed	-	-	-	-
165	engine_ctrl	const1	killed_full	survived	killed	-	-	-
166	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
167	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
168	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
169	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
170	engine_ctrl	const1	killed_fast	killed	-	-	-	-
171	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
172	engine_ctrl	const1	killed_full	survived	killed	-	-	-
173	engine_ctrl	inv	killed_full	survived	killed	-	-	-
174	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
