id	region	mode	final	fast	full	equiv	deep	directed
1	engine_ctrl	const1	killed_fast	killed	-	-	-	-
2	engine_ctrl	inv	killed_full	survived	killed	-	-	-
3	engine_ctrl	inv	killed_full	survived	killed	-	-	-
4	engine_ctrl	cnot0	survived	survived	survived	not_proven	killed	survived
5	engine_ctrl	const0	survived	survived	survived	equivalent	survived	survived
6	engine_ctrl	const1	killed_fast	killed	-	-	-	-
7	engine_ctrl	const1	killed_fast	killed	-	-	-	-
8	engine_ctrl	inv	killed_fast	killed	-	-	-	-
9	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
10	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
11	engine_ctrl	inv	killed_full	survived	killed	-	-	-
12	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
13	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
14	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
15	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
16	engine_ctrl	inv	killed_fast	killed	-	-	-	-
17	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
18	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
19	engine_ctrl	const1	survived	survived	survived	not_proven	survived	survived
20	engine_ctrl	const1	killed_fast	killed	-	-	-	-
21	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
22	engine_ctrl	inv	killed_fast	killed	-	-	-	-
23	engine_ctrl	const1	killed_full	survived	killed	-	-	-
24	engine_ctrl	const1	killed_fast	killed	-	-	-	-
25	engine_ctrl	cnot0	survived	survived	survived	not_proven	survived	survived
26	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
27	engine_ctrl	inv	killed_fast	killed	-	-	-	-
28	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
29	engine_ctrl	inv	killed_fast	killed	-	-	-	-
30	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
31	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
32	engine_ctrl	cnot1	survived	survived	survived	equivalent	survived	survived
33	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
34	engine_ctrl	const1	killed_full	survived	killed	-	-	-
35	engine_ctrl	const1	killed_fast	killed	-	-	-	-
36	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
37	engine_ctrl	const1	killed_fast	killed	-	-	-	-
38	engine_ctrl	const1	killed_fast	killed	-	-	-	-
39	engine_ctrl	const0	killed_fast	killed	-	-	-	-
40	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
41	engine_ctrl	const1	killed_fast	killed	-	-	-	-
42	engine_ctrl	inv	killed_fast	killed	-	-	-	-
43	engine_ctrl	inv	survived	survived	survived	not_proven	survived	survived
44	engine_ctrl	const0	killed_fast	killed	-	-	-	-
45	engine_ctrl	cnot1	survived	survived	survived	not_proven	killed	survived
46	engine_ctrl	const0	survived	survived	survived	equivalent	survived	survived
47	engine_ctrl	const1	survived	survived	survived	not_proven	survived	survived
48	engine_ctrl	inv	killed_fast	killed	-	-	-	-
49	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
50	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
51	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
52	engine_ctrl	inv	killed_fast	killed	-	-	-	-
53	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
54	engine_ctrl	const1	killed_fast	killed	-	-	-	-
55	engine_ctrl	inv	killed_fast	killed	-	-	-	-
56	engine_ctrl	const1	killed_full	survived	killed	-	-	-
57	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
58	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
59	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
60	engine_ctrl	inv	killed_fast	killed	-	-	-	-
61	engine_ctrl	const0	survived	survived	survived	equivalent	survived	survived
62	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
63	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
64	engine_ctrl	inv	killed_fast	killed	-	-	-	-
65	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
66	engine_ctrl	inv	killed_fast	killed	-	-	-	-
67	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
68	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
69	engine_ctrl	const0	killed_full	survived	killed	-	-	-
70	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
71	engine_ctrl	const0	killed_fast	killed	-	-	-	-
72	engine_ctrl	const1	killed_fast	killed	-	-	-	-
73	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
74	engine_ctrl	inv	killed_full	survived	killed	-	-	-
75	engine_ctrl	const1	killed_fast	killed	-	-	-	-
76	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
77	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
78	engine_ctrl	const0	killed_fast	killed	-	-	-	-
79	engine_ctrl	const0	survived	survived	survived	not_proven	killed	survived
80	engine_ctrl	inv	survived	survived	survived	not_proven	killed	killed
81	engine_ctrl	inv	killed_fast	killed	-	-	-	-
82	engine_ctrl	const0	killed_full	survived	killed	-	-	-
