id	region	mode	port	equiv	rip	deep	directed	diverged_state	outputs
4	engine_ctrl	cnot0	A[14]	not_proven	internal_only	killed	survived	wait_limit_0:102083	
5	engine_ctrl	const0	B[19]	equivalent	not_activated	survived	survived		
12	engine_ctrl	cnot1	Y[31]	not_proven	not_activated	survived	survived		
15	engine_ctrl	cnot1	Y[5]	not_proven	not_activated	survived	survived		
18	engine_ctrl	const0	B[9]	not_proven	not_activated	survived	survived		
19	engine_ctrl	const1	B[8]	not_proven	internal_only	survived	survived	blocked_cycles_2:4241	
25	engine_ctrl	cnot0	B[12]	not_proven	internal_only	survived	survived	blocked_cycles_1:2671	
30	engine_ctrl	cnot1	A[25]	not_proven	not_activated	survived	survived		
32	engine_ctrl	cnot1	B[8]	equivalent	not_activated	survived	survived		
33	engine_ctrl	cnot1	Y[2]	not_proven	not_activated	survived	survived		
40	engine_ctrl	cnot1	Y[6]	not_proven	not_activated	survived	survived		
43	engine_ctrl	inv	A[0]	not_proven	internal_only	survived	survived	blocked_cycles_0:3849	
45	engine_ctrl	cnot1	B[11]	not_proven	internal_only	killed	survived	completed_instructions:774	
46	engine_ctrl	const0	B[13]	equivalent	not_activated	survived	survived		
47	engine_ctrl	const1	B[18]	not_proven	internal_only	survived	survived	blocked_cycles_2:28644	
50	engine_ctrl	cnot1	A[21]	not_proven	not_activated	survived	survived		
57	engine_ctrl	cnot1	A[22]	not_proven	not_activated	survived	survived		
59	engine_ctrl	cnot1	A[8]	not_proven	not_activated	survived	survived		
61	engine_ctrl	const0	B[3]	equivalent	not_activated	survived	survived		
62	engine_ctrl	cnot1	B[17]	not_proven	not_activated	survived	survived		
63	engine_ctrl	cnot1	Y[21]	not_proven	not_activated	survived	survived		
65	engine_ctrl	const0	B[15]	not_proven	not_activated	survived	survived		
67	engine_ctrl	cnot1	B[3]	not_proven	not_activated	survived	survived		
68	engine_ctrl	cnot1	B[28]	not_proven	not_activated	survived	survived		
70	engine_ctrl	const0	Y[14]	not_proven	not_activated	survived	survived		
76	engine_ctrl	const0	Y[0]	not_proven	not_activated	survived	survived		
77	engine_ctrl	const0	A[12]	not_proven	not_activated	survived	survived		
79	engine_ctrl	const0	B[2]	not_proven	not_activated	killed	survived		
80	engine_ctrl	inv	Y[0]	not_proven	internal_only	killed	killed	blocked_cycles_1:30071	
83	engine_ctrl	cnot1	A[12]	not_proven	not_activated	survived	survived		
84	engine_ctrl	cnot1	B[7]	equivalent	not_activated	survived	survived		
88	engine_ctrl	cnot1	A[17]	not_proven	not_activated	survived	survived		
92	engine_ctrl	cnot1	A[19]	not_proven	not_activated	survived	survived		
94	engine_ctrl	const0	Y[8]	not_proven	not_activated	survived	survived		
95	engine_ctrl	const0	A[13]	not_proven	not_activated	survived	survived		
98	engine_ctrl	const1	A[1]	not_proven	internal_only	killed	killed	blocked_cycles_1:36026	
102	engine_ctrl	cnot1	Y[12]	equivalent	not_activated	survived	survived		
103	engine_ctrl	cnot1	B[2]	equivalent	not_activated	survived	survived		
104	engine_ctrl	const0	Y[29]	not_proven	not_activated	survived	survived		
105	engine_ctrl	cnot0	B[17]	not_proven	internal_only	survived	survived	wait_limit_1:15452	
107	engine_ctrl	const1	A[19]	not_proven	internal_only	killed	survived	blocked_cycles:19135	
113	engine_ctrl	const0	A[9]	not_proven	not_activated	survived	survived		
116	engine_ctrl	const0	Y[16]	not_proven	not_activated	survived	survived		
118	engine_ctrl	const1	B[18]	not_proven	internal_only	survived	survived	blocked_cycles:13564	
